listing_id,agent_email,listed_date,neighbourhood,property_type,area_sqft,bedrooms,bathrooms,year_built,epc_rating,condition_rating,distance_to_station_km,sale_price
LST-00019,agent8@example-estates.com,2023-02-02,Industrial Park,terraced,702,2,1,1914,F,2.0,2.97,68700
LST-00020,agent7@example-estates.com,2024-10-04,Meadowbank,flat,609,1,1,2000,F,4.0,2.01,99800
LST-00021,agent36@example-estates.com,2023-06-19,Docklands,flat,523,1,1,1965,D,4.0,1.07,76700
LST-00022,agent32@example-estates.com,2024-07-29,Docklands,flat,692,2,2,1900,E,5.0,1.06,122900
LST-00023,agent18@example-estates.com,2024-07-27,Eastfield,terraced,917,2,1,2011,E,4.0,2.77,133200
LST-00024,agent22@example-estates.com,2024-04-06,Old Town,detached,1370,3,2,2017,D,5.0,1.28,433700
LST-00025,agent35@example-estates.com,2023-05-27,Old Town,terraced,1065,2,1,1925,E,1.0,4.96,175100
LST-00026,agent11@example-estates.com,2024-06-01,Parkview,flat,500,1,1,1933,B,3.0,0.53,88200
LST-00027,agent2@example-estates.com,2024-01-28,Old Town,detached,1413,3,1,1998,C,,2.58,444800
LST-00028,agent21@example-estates.com,2023-06-03,Eastfield,detached,1654,3,2,1890,D,,0.93,332500
LST-00029,agent35@example-estates.com,2024-06-23,Meadowbank,flat,763,2,1,1952,C,4.0,0.52,112600
LST-00030,agent9@example-estates.com,2023-03-22,Eastfield,terraced,918,3,2,1981,E,1.0,7.16,142400
LST-00031,agent37@example-estates.com,2024-07-01,Northgate,terraced,1038,3,1,1930,D,5.0,0.67,155600
LST-00032,agent1@example-estates.com,2024-11-04,Meadowbank,semi-detached,1180,3,2,1968,A,5.0,1.24,294900
LST-00033,agent17@example-estates.com,2024-09-14,Docklands,flat,641,2,1,2003,D,,1.65,101600
LST-00034,agent22@example-estates.com,2023-01-21,Northgate,flat,370,1,2,1936,E,2.0,0.19,68700
LST-00035,agent18@example-estates.com,2024-04-06,Meadowbank,terraced,1077,2,1,1943,B,2.0,1.96,168900
LST-00036,agent12@example-estates.com,2023-03-14,Docklands,terraced,695,2,1,1993,D,1.0,0.27,128300
LST-00037,agent16@example-estates.com,2024-09-15,Meadowbank,flat,581,2,1,1999,E,2.0,1.02,119500
LST-00038,agent4@example-estates.com,2023-07-24,Northgate,semi-detached,1094,2,1,1957,E,3.0,2.06,172900
LST-00039,agent30@example-estates.com,2024-08-05,Docklands,detached,1063,1,1,1891,D,1.0,1.75,142400
LST-00040,agent33@example-estates.com,2023-01-26,Northgate,flat,766,3,2,1986,B,,4.57,87000
LST-00041,agent36@example-estates.com,2023-04-03,Riverside,flat,664,2,1,1909,A,2.0,1.71,156200
LST-00042,agent33@example-estates.com,2024-06-20,Docklands,flat,753,1,1,1920,C,1.0,0.94,73000
LST-00043,agent16@example-estates.com,2023-06-04,Old Town,terraced,963,2,2,1913,D,,1.51,218400
LST-00044,agent18@example-estates.com,2024-04-02,Old Town,flat,590,2,1,2013,C,,1.21,180200
LST-00045,agent4@example-estates.com,2023-07-19,Old Town,semi-detached,1367,3,2,1896,C,3.0,1.17,326400
LST-00046,agent40@example-estates.com,2024-01-04,Northgate,semi-detached,1646,4,2,1997,C,4.0,1.43,290500
LST-00047,agent33@example-estates.com,2023-02-06,Eastfield,flat,509,2,2,1902,F,5.0,1.24,101700
LST-00048,agent7@example-estates.com,2023-11-06,Parkview,semi-detached,1243,3,2,1901,A,1.0,2.19,310400
LST-00049,agent20@example-estates.com,2024-09-24,Old Town,terraced,923,2,1,1941,C,4.0,1.43,155000
LST-00050,agent8@example-estates.com,2023-05-19,Northgate,detached,1222,2,1,2014,B,,2.76,261100
LST-00051,agent31@example-estates.com,2024-02-19,Eastfield,detached,1590,5,3,1915,D,5.0,3.43,330800
LST-00052,agent28@example-estates.com,2023-07-29,Eastfield,detached,1976,5,2,1908,C,5.0,2.36,402400
LST-00053,agent35@example-estates.com,2023-02-16,Parkview,flat,631,1,1,1982,E,5.0,1.94,129500
LST-00054,agent8@example-estates.com,2023-04-23,Northgate,flat,547,1,1,2017,D,5.0,3.79,76800
LST-00055,agent26@example-estates.com,2023-12-07,Old Town,terraced,886,3,1,1961,B,5.0,3.1,195800
LST-00056,agent30@example-estates.com,2024-02-23,Old Town,flat,643,1,1,1994,C,2.0,0.6,154000
LST-00057,agent4@example-estates.com,2024-04-12,Eastfield,flat,536,2,1,1955,D,5.0,2.02,113900
LST-00058,agent26@example-estates.com,2023-10-23,Old Town,terraced,899,2,1,1895,D,,0.1,175400
LST-00059,agent22@example-estates.com,2023-07-19,Parkview,flat,757,3,1,1996,E,1.0,1.97,160300
LST-00060,agent8@example-estates.com,2023-05-12,Riverside,detached,1006,3,1,2010,B,4.0,1.26,429300
LST-00061,agent13@example-estates.com,2023-11-22,Northgate,terraced,1296,3,2,1991,C,,3.28,206500
LST-00062,agent20@example-estates.com,2024-03-08,Meadowbank,semi-detached,1046,3,2,1968,D,1.0,1.06,224700
LST-00063,agent37@example-estates.com,2023-08-20,Docklands,terraced,1210,3,1,2019,C,,0.3,185200
LST-00064,agent22@example-estates.com,2024-10-09,Northgate,terraced,1241,3,2,1963,F,3.0,4.16,180400
LST-00065,agent40@example-estates.com,2024-03-17,Eastfield,flat,669,3,2,1960,E,1.0,0.31,109600
LST-00066,agent3@example-estates.com,2023-05-10,Eastfield,detached,1469,4,2,2002,C,,3.37,420400
LST-00067,agent8@example-estates.com,2023-05-08,Docklands,terraced,971,3,1,1895,A,1.0,1.59,126300
LST-00068,agent25@example-estates.com,2024-07-22,Docklands,terraced,823,1,1,1902,E,3.0,2.67,98300
LST-00069,agent9@example-estates.com,2024-09-02,Riverside,flat,617,1,1,1890,B,4.0,2.71,123000
LST-00070,agent33@example-estates.com,2024-03-22,Meadowbank,terraced,996,2,2,1922,D,3.0,0.28,156700
LST-00071,agent1@example-estates.com,2024-08-27,Old Town,flat,895,2,1,2010,E,,0.45,203000
LST-00072,agent9@example-estates.com,2024-12-29,Industrial Park,detached,1729,4,3,1978,C,1.0,2.2,337400
LST-00073,agent19@example-estates.com,2024-08-24,Docklands,semi-detached,1018,4,2,1935,C,5.0,2.72,159600
LST-00074,agent14@example-estates.com,2024-01-31,Old Town,terraced,865,3,2,1964,E,3.0,1.44,186100
LST-00075,agent35@example-estates.com,2024-02-26,Docklands,flat,621,1,1,1897,C,3.0,0.91,76400
LST-00076,agent25@example-estates.com,2023-02-22,Northgate,terraced,888,2,1,1955,C,1.0,2.75,113400
LST-00077,agent6@example-estates.com,2023-01-30,Eastfield,terraced,1067,3,2,1951,C,,1.25,153200
LST-00078,agent24@example-estates.com,2023-10-19,Meadowbank,detached,1455,3,1,1990,C,3.0,1.8,311500
LST-00079,agent29@example-estates.com,2023-03-25,Meadowbank,detached,1301,4,2,2003,C,2.0,2.26,328800
LST-00080,agent35@example-estates.com,2023-09-17,Riverside,terraced,947,2,1,1946,E,2.0,2.29,211600
LST-00081,agent7@example-estates.com,2024-03-16,Parkview,semi-detached,840,2,1,1930,A,3.0,2.83,182400
LST-00082,agent23@example-estates.com,2024-01-22,Riverside,flat,675,1,1,2000,C,1.0,2.22,157700
LST-00083,agent9@example-estates.com,2024-08-23,Eastfield,terraced,944,2,1,1981,D,2.0,1.71,155200
LST-00084,agent35@example-estates.com,2023-03-27,Industrial Park,semi-detached,1132,2,1,1913,D,3.0,3.08,116600
LST-00085,agent15@example-estates.com,2024-01-10,Northgate,terraced,1030,2,1,2015,C,4.0,1.16,149300
LST-00086,agent13@example-estates.com,2024-05-20,Parkview,semi-detached,1676,4,2,1914,D,2.0,1.55,335700
LST-00087,agent14@example-estates.com,2023-12-15,Northgate,flat,693,2,1,1934,D,1.0,0.47,97900
LST-00088,agent27@example-estates.com,2023-02-10,Eastfield,semi-detached,1139,3,2,1904,C,3.0,1.85,214400
LST-00089,agent1@example-estates.com,2023-01-20,Riverside,detached,1562,4,2,1997,D,3.0,0.26,558600
LST-00090,agent33@example-estates.com,2023-07-24,Riverside,semi-detached,1289,3,2,1899,C,1.0,0.26,356500
LST-00091,agent27@example-estates.com,2023-11-19,Docklands,semi-detached,1084,2,1,1976,F,5.0,3.14,149100
LST-00092,agent29@example-estates.com,2024-03-14,Meadowbank,semi-detached,1336,3,1,2001,E,5.0,2.63,260900
LST-00093,agent38@example-estates.com,2024-10-23,Riverside,flat,636,2,1,1976,B,5.0,0.1,185100
LST-00094,agent18@example-estates.com,2023-05-16,Meadowbank,flat,518,2,1,2007,C,1.0,2.01,104200
LST-00095,agent7@example-estates.com,2023-06-11,Meadowbank,flat,691,2,1,1930,D,5.0,4.46,121000
LST-00096,agent23@example-estates.com,2024-10-02,Parkview,flat,386,1,1,1952,B,4.0,0.79,114100
LST-00097,agent5@example-estates.com,2024-05-13,Meadowbank,flat,573,2,1,1955,E,3.0,0.58,102400
LST-00098,agent38@example-estates.com,2023-07-18,Meadowbank,flat,478,1,1,1907,B,,1.37,84700
LST-00099,agent5@example-estates.com,2023-12-02,Riverside,flat,613,1,1,1947,C,4.0,2.56,163900
LST-00100,agent31@example-estates.com,2024-04-26,Docklands,semi-detached,1220,3,1,1900,A,1.0,1.24,146800
LST-00101,agent25@example-estates.com,2023-09-10,Industrial Park,flat,803,2,1,1920,B,1.0,2.6,71900
LST-00102,agent37@example-estates.com,2024-09-24,Industrial Park,flat,586,2,1,1914,C,3.0,2.53,57700
LST-00103,agent14@example-estates.com,2024-01-24,Industrial Park,terraced,558,1,1,1903,D,4.0,1.37,61200
LST-00104,agent15@example-estates.com,2023-09-08,Docklands,semi-detached,1176,3,2,1981,D,3.0,4.54,194100
LST-00105,agent18@example-estates.com,2024-03-17,Meadowbank,terraced,957,2,1,1987,C,1.0,1.42,180500
LST-00106,agent20@example-estates.com,2023-06-06,Parkview,flat,486,1,1,1984,C,1.0,3.76,92600
LST-00107,agent23@example-estates.com,2024-07-14,Meadowbank,terraced,702,1,1,1916,D,4.0,2.16,98900
LST-00108,agent10@example-estates.com,2024-02-13,Industrial Park,terraced,932,3,1,2017,E,1.0,3.82,105200
LST-00109,agent1@example-estates.com,2024-04-08,Meadowbank,semi-detached,840,2,1,1916,E,2.0,1.17,169200
LST-00110,agent27@example-estates.com,2023-05-18,Old Town,terraced,939,2,1,1934,D,1.0,3.08,151300
LST-00111,agent2@example-estates.com,2023-01-28,Riverside,flat,782,1,1,1930,E,4.0,2.55,137000
LST-00112,agent38@example-estates.com,2024-05-19,Riverside,terraced,641,2,1,1931,C,5.0,0.49,244100
LST-00113,agent24@example-estates.com,2023-11-08,Eastfield,flat,628,2,1,1903,E,4.0,1.68,84100
LST-00114,agent29@example-estates.com,2023-06-12,Parkview,terraced,837,1,1,1954,F,1.0,1.99,140700
LST-00115,agent39@example-estates.com,2024-03-09,Northgate,detached,1258,3,1,1890,E,5.0,0.78,253900
LST-00116,agent1@example-estates.com,2024-03-07,Parkview,terraced,1142,3,1,1967,D,,1.56,251800
LST-00117,agent21@example-estates.com,2024-08-10,Parkview,terraced,956,2,1,1891,E,1.0,0.36,157100
LST-00118,agent13@example-estates.com,2024-04-10,Riverside,flat,566,2,1,1959,B,2.0,1.22,138700
LST-00119,agent23@example-estates.com,2023-11-29,Parkview,terraced,917,2,1,1994,D,,2.11,226300
LST-00120,agent7@example-estates.com,2024-04-03,Meadowbank,semi-detached,1225,2,1,1975,A,,3.82,229700
LST-00121,agent34@example-estates.com,2023-02-18,Docklands,terraced,1020,3,2,1893,D,2.0,2.68,163300
LST-00122,agent20@example-estates.com,2023-09-11,Parkview,flat,733,1,1,1968,A,2.0,1.2,159700
LST-00123,agent22@example-estates.com,2023-11-05,Meadowbank,terraced,1220,3,2,1940,D,4.0,0.89,227400
LST-00124,agent28@example-estates.com,2024-05-12,Docklands,detached,1444,4,2,1984,C,4.0,3.44,305000
LST-00125,agent16@example-estates.com,2023-03-18,Industrial Park,terraced,1247,3,1,1935,B,1.0,1.83,145500
LST-00126,agent1@example-estates.com,2023-05-25,Northgate,terraced,994,3,1,1919,B,5.0,1.06,148800
LST-00127,agent17@example-estates.com,2023-08-14,Eastfield,detached,1324,3,2,1912,F,4.0,3.78,253000
LST-00128,agent1@example-estates.com,2023-01-21,Meadowbank,flat,523,2,1,1913,E,3.0,0.65,107900
LST-00129,agent31@example-estates.com,2023-03-04,Northgate,semi-detached,1024,3,1,1992,D,4.0,1.42,131000
LST-00130,agent36@example-estates.com,2023-01-08,Old Town,detached,1472,3,2,2007,C,2.0,0.55,475900
LST-00131,agent27@example-estates.com,2024-09-23,Eastfield,terraced,704,2,1,2015,C,1.0,0.99,135500
LST-00132,agent28@example-estates.com,2023-07-13,Northgate,semi-detached,982,2,1,1932,A,1.0,3.52,156200
LST-00133,agent5@example-estates.com,2024-12-08,Eastfield,flat,789,2,1,1892,F,5.0,0.66,124200
LST-00134,agent38@example-estates.com,2024-07-22,Old Town,detached,1698,4,2,1929,B,1.0,1.01,485700
LST-00135,agent31@example-estates.com,2024-09-10,Meadowbank,terraced,715,2,1,1937,C,1.0,1.63,134600
LST-00136,agent4@example-estates.com,2023-11-20,Old Town,flat,547,1,1,1983,B,4.0,1.58,147300
LST-00137,agent35@example-estates.com,2024-08-05,Old Town,flat,689,2,1,1950,D,1.0,0.6,144200
LST-00138,agent29@example-estates.com,2023-12-01,Meadowbank,detached,1559,3,1,1980,B,5.0,2.06,419400
LST-00139,agent12@example-estates.com,2023-09-05,Docklands,terraced,828,2,2,1908,D,1.0,3.57,93400
LST-00140,agent29@example-estates.com,2023-06-19,Parkview,detached,1674,4,2,1994,C,4.0,4.45,430400
LST-00141,agent39@example-estates.com,2024-01-14,Parkview,semi-detached,927,2,1,1904,A,2.0,0.77,219200
LST-00142,agent39@example-estates.com,2023-09-06,Industrial Park,semi-detached,1330,3,2,1948,E,5.0,1.4,158600
LST-00143,agent15@example-estates.com,2024-03-11,Eastfield,semi-detached,1379,2,1,2016,B,2.0,1.46,252700
LST-00144,agent34@example-estates.com,2023-01-07,Meadowbank,semi-detached,1276,3,2,1930,D,1.0,1.98,268500
LST-00145,agent12@example-estates.com,2023-03-03,Meadowbank,semi-detached,1247,3,1,1921,E,3.0,0.77,227400
LST-00146,agent10@example-estates.com,2024-10-31,Riverside,detached,1491,4,2,1964,B,1.0,0.81,605200
LST-00147,agent38@example-estates.com,2024-06-23,Riverside,flat,691,1,1,1959,C,5.0,2.53,149600
LST-00148,agent30@example-estates.com,2023-06-21,Meadowbank,flat,692,1,1,1935,C,3.0,2.52,97700
LST-00149,agent37@example-estates.com,2023-10-24,Meadowbank,semi-detached,1087,2,1,2020,F,1.0,3.05,156900
LST-00150,agent20@example-estates.com,2023-05-01,Eastfield,flat,369,1,1,1920,F,3.0,2.58,52700
LST-00151,agent28@example-estates.com,2023-10-12,Northgate,flat,519,1,1,1997,E,4.0,2.21,84400
LST-00152,agent13@example-estates.com,2023-02-03,Northgate,terraced,962,2,1,1984,D,5.0,1.08,120000
LST-00153,agent39@example-estates.com,2024-01-21,Old Town,semi-detached,1037,2,1,1953,C,3.0,0.85,334000
LST-00154,agent33@example-estates.com,2023-12-19,Parkview,flat,1012,2,1,1980,D,5.0,0.32,195100
LST-00155,agent4@example-estates.com,2023-02-12,Riverside,detached,1782,4,2,1947,A,1.0,3.25,486100
LST-00156,agent8@example-estates.com,2024-01-06,Meadowbank,flat,660,1,1,1915,C,,0.31,95500
LST-00157,agent16@example-estates.com,2024-06-28,Northgate,flat,870,1,1,1924,D,3.0,0.33,98600
LST-00158,agent13@example-estates.com,2024-10-09,Industrial Park,flat,692,2,1,1993,A,5.0,2.55,79100
LST-00159,agent31@example-estates.com,2023-11-10,Docklands,flat,575,1,1,1909,D,,2.23,61100
LST-00160,agent31@example-estates.com,2023-01-14,Industrial Park,flat,638,2,1,1911,A,4.0,0.54,70600
LST-00161,agent22@example-estates.com,2024-08-23,Parkview,terraced,668,1,1,1946,F,3.0,2.64,132900
LST-00162,agent8@example-estates.com,2024-03-10,Old Town,terraced,969,2,1,1906,E,4.0,0.97,187200
LST-00163,agent32@example-estates.com,2023-12-06,Old Town,flat,771,3,2,1988,B,3.0,2.25,186300
LST-00164,agent18@example-estates.com,2024-11-01,Eastfield,flat,683,2,1,2012,F,3.0,0.26,127000
LST-00165,agent10@example-estates.com,2023-06-15,Eastfield,flat,658,1,1,1909,D,5.0,1.97,102000
LST-00166,agent19@example-estates.com,2024-05-13,Northgate,detached,1674,3,2,1898,E,1.0,1.82,323700
LST-00167,agent18@example-estates.com,2024-10-12,Northgate,semi-detached,1738,4,2,1897,D,5.0,1.29,226100
LST-00168,agent9@example-estates.com,2023-09-25,Northgate,semi-detached,1676,4,2,1935,A,3.0,1.31,252300
LST-00169,agent1@example-estates.com,2023-03-03,Northgate,detached,1768,4,2,1977,C,4.0,1.06,332300
LST-00170,agent33@example-estates.com,2023-02-27,Industrial Park,flat,706,2,1,1972,D,2.0,7.47,50100
LST-00171,agent3@example-estates.com,2023-11-23,Northgate,detached,1862,4,2,2002,E,3.0,1.34,350100
LST-00172,agent10@example-estates.com,2023-12-13,Northgate,flat,747,1,1,1989,B,3.0,1.12,137200
LST-00173,agent10@example-estates.com,2023-05-05,Parkview,terraced,810,2,2,1913,B,1.0,2.74,134200
LST-00174,agent12@example-estates.com,2023-05-31,Eastfield,terraced,725,2,1,2006,A,4.0,2.05,155500
LST-00175,agent27@example-estates.com,2024-11-30,Industrial Park,detached,1935,5,2,1893,C,2.0,2.87,236500
LST-00176,agent13@example-estates.com,2023-10-15,Industrial Park,flat,587,2,1,1908,F,1.0,0.1,58500
LST-00177,agent4@example-estates.com,2024-03-02,Parkview,terraced,1033,2,2,1968,D,,2.96,193900
LST-00178,agent7@example-estates.com,2024-07-24,Parkview,semi-detached,1187,2,1,1956,F,2.0,1.58,245800
LST-00179,agent16@example-estates.com,2023-06-16,Northgate,flat,657,1,1,1921,E,,0.86,84900
LST-00180,agent9@example-estates.com,2024-07-29,Docklands,detached,2165,5,3,1966,B,1.0,4.46,299100
LST-00181,agent5@example-estates.com,2024-06-06,Northgate,flat,648,2,1,1918,B,1.0,2.36,71300
LST-00182,agent1@example-estates.com,2024-11-26,Old Town,detached,1677,4,2,1986,E,1.0,4.85,433400
LST-00183,agent35@example-estates.com,2023-05-16,Northgate,flat,691,2,2,1908,D,,0.46,112700
LST-00184,agent38@example-estates.com,2023-03-31,Northgate,semi-detached,1141,2,1,1997,D,2.0,0.14,183600
LST-00185,agent2@example-estates.com,2024-11-17,Eastfield,detached,1940,4,3,1935,D,1.0,0.64,373900
LST-00186,agent33@example-estates.com,2023-09-03,Eastfield,semi-detached,1301,3,1,1929,E,4.0,1.76,251400
LST-00187,agent40@example-estates.com,2024-04-02,Northgate,semi-detached,1468,3,1,2010,D,2.0,0.24,252200
LST-00188,agent18@example-estates.com,2023-12-27,Parkview,flat,579,1,1,1950,C,,0.72,120500
LST-00189,agent23@example-estates.com,2023-02-05,Industrial Park,detached,1580,4,2,1910,D,1.0,1.46,232700
LST-00190,agent11@example-estates.com,2023-07-12,Northgate,flat,696,2,1,1912,B,3.0,1.92,102800
LST-00191,agent39@example-estates.com,2024-08-07,Eastfield,detached,1336,3,1,2000,C,3.0,1.02,290900
LST-00192,agent13@example-estates.com,2024-09-27,Eastfield,semi-detached,1113,3,2,1954,D,4.0,0.99,207900
LST-00193,agent25@example-estates.com,2024-10-29,Old Town,detached,1441,2,1,2017,C,3.0,1.25,462800
LST-00194,agent29@example-estates.com,2023-03-13,Riverside,semi-detached,884,3,2,1937,B,5.0,3.66,271000
LST-00195,agent21@example-estates.com,2023-05-28,Northgate,flat,664,2,1,1897,B,4.0,0.52,92100
LST-00196,agent1@example-estates.com,2023-10-08,Parkview,terraced,965,2,2,1969,C,2.0,0.68,209200
LST-00197,agent4@example-estates.com,2023-10-08,Riverside,semi-detached,869,2,1,1931,C,3.0,0.82,307100
LST-00198,agent2@example-estates.com,2024-05-23,Industrial Park,semi-detached,1173,2,1,2018,E,5.0,3.29,163100
LST-00199,agent39@example-estates.com,2024-05-02,Old Town,detached,1565,4,2,1920,D,4.0,0.49,516800
LST-00200,agent40@example-estates.com,2023-01-13,Old Town,terraced,1146,3,1,2006,F,,3.56,192300
LST-00201,agent24@example-estates.com,2024-03-24,Eastfield,semi-detached,1160,2,1,1903,F,4.0,3.46,155600
LST-00202,agent18@example-estates.com,2024-11-25,Old Town,detached,1409,3,2,1908,C,5.0,2.48,407000
LST-00203,agent15@example-estates.com,2024-06-20,Parkview,semi-detached,1295,3,1,1984,D,3.0,0.97,304100
LST-00204,agent30@example-estates.com,2024-10-11,Riverside,terraced,1126,2,1,1985,D,,0.24,264800
LST-00205,agent24@example-estates.com,2024-03-24,Meadowbank,flat,637,1,1,1900,F,2.0,0.35,96900
LST-00206,agent10@example-estates.com,2024-02-24,Meadowbank,flat,732,1,1,1976,D,2.0,1.69,127100
LST-00207,agent16@example-estates.com,2023-02-27,Parkview,detached,1712,4,1,2007,C,,3.25,411500
LST-00208,agent27@example-estates.com,2023-08-17,Northgate,terraced,1185,3,2,1933,D,4.0,1.32,173800
LST-00209,agent30@example-estates.com,2023-10-05,Parkview,flat,787,2,1,1967,E,2.0,3.13,125000
LST-00210,agent25@example-estates.com,2024-01-05,Docklands,semi-detached,1309,3,2,1968,C,2.0,1.44,208700
LST-00211,agent19@example-estates.com,2023-07-01,Meadowbank,semi-detached,1297,3,2,1926,C,2.0,2.71,238400
LST-00212,agent23@example-estates.com,2023-12-08,Eastfield,semi-detached,1154,3,2,1990,F,,2.04,170000
LST-00213,agent8@example-estates.com,2024-10-15,Riverside,detached,2177,5,2,1933,F,4.0,1.44,641900
LST-00214,agent38@example-estates.com,2024-12-13,Eastfield,detached,1542,5,3,1980,B,3.0,0.6,324200
LST-00215,agent29@example-estates.com,2023-07-10,Riverside,flat,633,1,2,1950,E,2.0,0.7,153400
LST-00216,agent32@example-estates.com,2023-06-20,Riverside,flat,625,2,2,1989,C,3.0,1.85,184100
LST-00217,agent32@example-estates.com,2023-06-13,Eastfield,semi-detached,952,3,1,1914,E,5.0,0.66,201600
LST-00218,agent19@example-estates.com,2023-11-04,Meadowbank,semi-detached,1456,4,2,1961,B,1.0,0.43,330800
LST-00219,agent26@example-estates.com,2023-03-23,Eastfield,flat,779,2,1,1986,D,1.0,0.25,118700
LST-00220,agent10@example-estates.com,2023-12-06,Docklands,terraced,709,1,1,1980,F,3.0,4.68,73300
LST-00221,agent35@example-estates.com,2023-08-20,Meadowbank,detached,1751,4,2,2005,A,1.0,1.6,372500
LST-00222,agent27@example-estates.com,2024-05-29,Old Town,flat,697,2,1,1895,A,,1.28,158800
LST-00223,agent23@example-estates.com,2023-01-18,Parkview,flat,488,2,1,1998,D,,2.43,107600
LST-00224,agent31@example-estates.com,2023-03-03,Docklands,detached,1834,4,2,1907,A,4.0,2.17,360900
LST-00225,agent22@example-estates.com,2023-03-29,Old Town,semi-detached,1492,3,1,1913,A,2.0,1.22,366200
LST-00226,agent32@example-estates.com,2024-04-21,Northgate,terraced,975,3,2,1890,D,4.0,0.85,139200
LST-00227,agent18@example-estates.com,2024-08-03,Meadowbank,flat,484,1,1,1947,E,4.0,4.07,67800
LST-00228,agent18@example-estates.com,2024-01-31,Northgate,semi-detached,1184,3,2,1976,D,1.0,1.52,240300
LST-00229,agent2@example-estates.com,2023-01-14,Industrial Park,terraced,751,2,1,2006,C,2.0,1.26,89200
LST-00230,agent33@example-estates.com,2024-06-04,Old Town,semi-detached,1383,3,1,1918,C,5.0,2.78,331700
LST-00231,agent11@example-estates.com,2024-02-16,Riverside,semi-detached,1372,3,2,1903,D,1.0,0.94,311800
LST-00232,agent25@example-estates.com,2024-01-02,Docklands,flat,628,1,1,1891,B,1.0,1.77,61400
LST-00233,agent17@example-estates.com,2024-11-08,Industrial Park,flat,807,2,1,1975,D,5.0,7.81,66200
LST-00234,agent16@example-estates.com,2023-01-02,Meadowbank,terraced,693,2,1,1951,F,5.0,0.94,124100
LST-00235,agent14@example-estates.com,2023-02-08,Northgate,flat,708,1,1,1956,A,4.0,0.87,130100
LST-00236,agent13@example-estates.com,2023-07-22,Northgate,terraced,1197,3,1,1942,E,,0.83,165900
LST-00237,agent29@example-estates.com,2023-06-29,Northgate,semi-detached,1335,3,1,1921,D,3.0,1.75,210800
LST-00238,agent31@example-estates.com,2024-10-31,Riverside,detached,1418,3,2,2012,D,2.0,1.12,415700
LST-00239,agent9@example-estates.com,2023-03-28,Parkview,detached,2122,5,2,1974,E,4.0,3.75,439300
LST-00240,agent8@example-estates.com,2024-04-05,Riverside,terraced,1042,2,1,1980,D,2.0,1.71,290400
LST-00241,agent25@example-estates.com,2024-10-19,Industrial Park,semi-detached,1246,3,1,1993,D,5.0,3.52,148100
LST-00242,agent32@example-estates.com,2023-03-15,Eastfield,flat,769,2,1,1931,E,4.0,2.33,106100
LST-00243,agent36@example-estates.com,2024-02-29,Old Town,flat,474,2,1,1911,D,4.0,1.54,117300
LST-00244,agent4@example-estates.com,2023-06-30,Meadowbank,semi-detached,745,1,1,1938,D,5.0,4.29,127900
LST-00245,agent14@example-estates.com,2023-09-25,Eastfield,semi-detached,944,2,1,1956,D,1.0,1.66,154100
LST-00246,agent14@example-estates.com,2023-05-11,Parkview,terraced,890,2,1,1993,D,,2.09,200200
LST-00247,agent35@example-estates.com,2024-01-12,Old Town,detached,1511,4,2,1989,D,3.0,0.8,463700
LST-00248,agent24@example-estates.com,2023-05-31,Northgate,flat,645,2,1,1940,C,1.0,0.36,109900
LST-00249,agent19@example-estates.com,2024-01-31,Parkview,semi-detached,1325,3,2,1993,E,1.0,4.24,226100
